film,fandango_stars,fandango_rating_value,fandango_votes,fandango_difference
Woman in Gold (2015),4.5,4.4,2435,0.1
The Last Five Years (2015),4.5,4.4,99,0.1
Mission: Impossible Ã¢â‚¬â€œ Rogue Nation (2015),4.5,4.4,8357,0.1
Amy (2015),4.5,4.4,729,0.1
Jurassic World (2015),4.5,4.5,34390,0
Max (2015),4.5,4.5,3412,0
The Longest Ride (2015),4.5,4.5,2603,0
Spare Parts (2015),4.5,4.5,450,0
Inside Out (2015),4.5,4.5,15749,0
Avengers: Age of Ultron (2015),5,4.5,14846,0.5
Cinderella (2015),5,4.5,12640,0.5
Ant-Man (2015),5,4.5,12055,0.5
Do You Believe? (2015),5,4.5,1793,0.5
The Imitation Game (2014),5,4.6,8055,0.4
Southpaw (2015),5,4.6,5597,0.4
"McFarland, USA (2015)",5,4.6,3364,0.4
Selma (2014),5,4.6,7025,0.4
American Sniper (2015),5,4.8,34085,0.2
Furious 7 (2015),5,4.8,33538,0.2
Straight Outta Compton (2015),5,4.8,8096,0.2
